@relation ApSpringFinal1_clustered

@attribute Instance_number numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,7.2209,177.1,5256.8,cluster0
1,32.324,2022,23532,cluster0
2,65.913,1308,47984,cluster1
3,70.164,338.3,51079,cluster1
4,74.589,1956.6,54301,cluster1
5,78.736,2407.3,57320,cluster1
6,79.704,1893.2,58024,cluster1
7,80.258,682,58428,cluster1
8,81.52,1979.1,59347,cluster1
9,83.819,1255.6,61020,cluster1
10,85.945,1359.3,62568,cluster1
11,88.644,1307.3,64533,cluster1
12,91.188,2074.7,66385,cluster1
13,94.32,2135.2,68665,cluster1
14,96.48,1510.4,70237,cluster1
15,104.25,1137.1,75896,cluster1
16,107.42,1542.6,78199,cluster1
17,110.34,1203.2,80327,cluster1
18,111.63,1980.7,81266,cluster1
19,117.81,1880.1,85762,cluster1
20,123.19,920,89685,cluster1
21,123.27,1481.5,89741,cluster1
22,131.11,1685.5,95449,cluster1
23,141.33,776.83,102890,cluster1
24,146.06,3212.2,106330,cluster2
25,147.7,2123,107530,cluster2
26,148.82,1651.5,108340,cluster2
27,195.76,2624.1,142520,cluster2
28,195.82,1816.8,142550,cluster2
29,210.28,1338,153090,cluster2
30,223.64,2354.8,162810,cluster2
31,229.25,1071.4,166900,cluster2
32,236.66,2620.8,172290,cluster2
33,237.12,1517.4,172620,cluster2
34,300.56,2022,218810,cluster2
35,318.37,2617.3,231770,cluster2
36,341.85,2314,248870,cluster2
