@relation RFM-weka.filters.unsupervised.attribute.AddNoise-Clast-P30-S2

@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute class {poly-kalos,pistos,avevaios,efkairia,adiaforos,palia-eykairia,proin-pistos,proin-kalos}

@data
9,4,12653,poly-kalos
8,9,5500,poly-kalos
15,15,1995,poly-kalos
14,3,2250,poly-kalos
18,12,4371,palia-eykairia
0,8,1374,avevaios
78,5,1603,poly-kalos
95,4,2304,poly-kalos
28,24,18124,poly-kalos
15,3,1084,proin-pistos
10,5,2103,avevaios
1,12,5491,proin-pistos
2,6,997,poly-kalos
1,3,1245,poly-kalos
61,11,2857,poly-kalos
7,5,5270,poly-kalos
15,9,2964,poly-kalos
88,3,2332,poly-kalos
7,12,6464,poly-kalos
7,23,20875,poly-kalos
95,4,2089,proin-kalos
16,4,914,poly-kalos
2,14,8235,adiaforos
15,15,13025,poly-kalos
27,10,5143,efkairia
0,4,2130,poly-kalos
85,4,3317,palia-eykairia
2,4,5761,poly-kalos
1,24,5781,poly-kalos
29,18,5635,proin-kalos
22,8,1169,poly-kalos
15,10,4779,proin-kalos
46,8,6015,poly-kalos
11,13,13580,poly-kalos
10,31,9384,poly-kalos
7,18,13877,proin-kalos
91,11,5771,palia-eykairia
10,4,2465,adiaforos
83,7,2572,poly-kalos
25,4,5695,poly-kalos
85,4,9166,adiaforos
110,10,4212,poly-kalos
10,17,10189,poly-kalos
2,3,2052,poly-kalos
2,16,3661,poly-kalos
1,21,8351,poly-kalos
7,8,1049,poly-kalos
1,4,1263,pistos
4,3,1455,poly-kalos
0,7,1587,efkairia
7,7,1335,poly-kalos
76,7,2310,palia-eykairia
91,4,1674,poly-kalos
15,6,2480,poly-kalos
30,20,2871,poly-kalos
11,15,5742,poly-kalos
8,17,13559,proin-pistos
18,13,25592,adiaforos
11,4,2750,poly-kalos
10,9,1478,poly-kalos
0,14,28471,avevaios
1,6,1879,poly-kalos
16,6,3211,poly-kalos
