@relation RFM-weka.filters.unsupervised.attribute.AddNoise-Clast-P30-S2

@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute class {poly-kalos,pistos,avevaios,efkairia,adiaforos,palia-eykairia,proin-pistos,proin-kalos}

@data
2,1,69,avevaios
2,1,40,palia-eykairia
2,1,126,pistos
1,1,84,pistos
1,1,166,avevaios
1,1,21,avevaios
0,1,56,avevaios
0,1,96,proin-kalos
0,1,299,avevaios
109,2,195,avevaios
25,1,159,proin-kalos
3,2,37,avevaios
65,2,285,avevaios
98,1,508,poly-kalos
89,1,139,avevaios
48,1,134,avevaios
41,1,294,adiaforos
32,1,212,avevaios
19,1,50,avevaios
7,2,0,avevaios
15,1,63,avevaios
7,1,594,avevaios
3,1,212,avevaios
3,1,214,proin-kalos
13,1,324,proin-pistos
109,1,616,avevaios
55,1,67,poly-kalos
9,2,277,adiaforos
103,1,185,avevaios
46,1,588,avevaios
37,1,25,efkairia
22,1,29,avevaios
86,1,61,avevaios
49,1,46,avevaios
10,1,735,avevaios
103,1,107,efkairia
14,1,290,avevaios
9,1,700,proin-kalos
4,2,24,palia-eykairia
9,1,2,avevaios
55,1,14,avevaios
111,1,497,avevaios
10,2,776,pistos
27,2,1257,efkairia
14,2,1655,efkairia
39,2,1664,efkairia
29,1,773,avevaios
84,1,1050,efkairia
4,2,1344,efkairia
81,1,14920,efkairia
18,2,958,efkairia
32,2,3077,efkairia
49,2,2567,efkairia
37,1,1210,efkairia
8,2,3076,palia-eykairia
96,1,1273,pistos
84,2,1832,efkairia
7,2,1404,adiaforos
57,2,2774,efkairia
2,1,3841,efkairia
4,2,1134,palia-eykairia
56,2,916,efkairia
3,2,2005,adiaforos
79,1,1118,efkairia
57,2,836,efkairia
111,2,1582,efkairia
58,2,954,pistos
7,2,1255,efkairia
1,2,2086,efkairia
92,2,855,pistos
25,1,1435,avevaios
15,2,813,proin-pistos
10,1,935,pistos
111,2,2009,efkairia
25,2,1790,efkairia
56,1,9811,efkairia
35,2,991,efkairia
25,2,779,efkairia
78,2,1793,efkairia
12,2,1920,efkairia
10,2,1229,efkairia
11,1,1385,efkairia
11,2,826,efkairia
58,2,1115,efkairia
77,2,1214,efkairia
32,2,1302,efkairia
99,1,827,efkairia
11,2,1160,efkairia
4,1,800,efkairia
18,2,1856,efkairia
67,2,1046,poly-kalos
75,2,866,poly-kalos
33,1,1891,efkairia
8,2,924,efkairia
95,1,924,efkairia
1,2,1161,efkairia
18,1,1415,poly-kalos
69,2,912,efkairia
1,1,903,avevaios
50,2,2181,efkairia
97,1,1160,efkairia
1,1,1294,efkairia
96,2,1232,efkairia
23,1,2697,efkairia
0,2,1050,efkairia
111,1,2997,efkairia
14,1,1035,efkairia
41,2,852,poly-kalos
0,1,929,poly-kalos
104,2,1067,efkairia
102,1,1341,efkairia
15,1,1709,efkairia
32,1,1338,efkairia
26,2,1693,proin-kalos
32,2,1106,palia-eykairia
74,2,1615,proin-kalos
88,2,1134,efkairia
97,1,1255,efkairia
36,2,2374,efkairia
102,1,1466,palia-eykairia
20,2,1086,efkairia
96,1,849,palia-eykairia
76,2,1661,poly-kalos
12,2,996,efkairia
47,2,1009,pistos
41,2,1689,adiaforos
19,2,1224,adiaforos
13,2,1410,efkairia
27,2,2084,avevaios
95,1,798,efkairia
106,1,874,efkairia
96,1,834,efkairia
107,1,1248,efkairia
41,2,2908,efkairia
102,1,1050,avevaios
86,1,1778,efkairia
65,1,1157,efkairia
348,1,73,poly-kalos
335,1,166,proin-kalos
151,1,128,adiaforos
130,1,88,adiaforos
298,1,294,poly-kalos
117,1,378,proin-kalos
175,1,512,adiaforos
359,1,79,adiaforos
224,1,80,adiaforos
355,1,116,adiaforos
356,1,227,pistos
347,1,759,adiaforos
350,1,292,palia-eykairia
169,2,111,adiaforos
348,1,131,adiaforos
270,1,28,adiaforos
253,1,225,adiaforos
156,2,179,adiaforos
146,2,280,adiaforos
361,1,265,adiaforos
131,2,588,adiaforos
145,1,119,adiaforos
148,1,130,adiaforos
324,1,61,poly-kalos
280,2,108,adiaforos
252,1,647,proin-pistos
348,2,330,adiaforos
145,2,134,poly-kalos
345,1,520,proin-kalos
188,1,752,proin-kalos
175,2,306,adiaforos
327,1,429,adiaforos
153,1,269,efkairia
174,2,610,adiaforos
358,1,78,adiaforos
331,1,368,adiaforos
321,1,325,adiaforos
354,1,340,palia-eykairia
348,1,512,adiaforos
223,1,50,adiaforos
125,1,202,adiaforos
328,1,88,adiaforos
141,1,59,adiaforos
162,2,149,efkairia
175,1,212,adiaforos
200,2,181,palia-eykairia
349,1,86,adiaforos
264,1,0,adiaforos
161,2,184,adiaforos
135,2,175,avevaios
130,1,633,adiaforos
335,1,210,adiaforos
347,1,13,pistos
329,1,20,adiaforos
134,2,592,adiaforos
207,1,126,adiaforos
229,1,282,adiaforos
146,1,72,adiaforos
182,1,57,adiaforos
349,1,189,adiaforos
351,1,144,adiaforos
351,1,582,adiaforos
158,2,165,adiaforos
214,1,172,adiaforos
162,1,368,avevaios
345,2,115,adiaforos
349,1,63,adiaforos
184,1,172,adiaforos
177,1,93,adiaforos
263,1,392,adiaforos
270,1,105,adiaforos
209,1,84,adiaforos
357,1,292,adiaforos
167,1,194,adiaforos
165,1,50,poly-kalos
356,1,0,efkairia
179,2,721,pistos
246,2,186,adiaforos
207,1,160,adiaforos
350,1,381,poly-kalos
222,1,67,adiaforos
141,2,589,adiaforos
260,2,411,poly-kalos
162,2,118,adiaforos
354,2,444,adiaforos
354,1,729,adiaforos
321,1,73,pistos
271,1,97,adiaforos
159,2,510,adiaforos
118,2,65,adiaforos
327,1,393,palia-eykairia
341,2,347,adiaforos
341,1,45,adiaforos
340,1,15,adiaforos
341,1,182,adiaforos
334,1,314,adiaforos
291,1,134,proin-pistos
341,2,197,proin-pistos
324,1,313,efkairia
310,1,585,adiaforos
180,2,536,proin-pistos
242,1,63,adiaforos
222,1,208,adiaforos
322,1,50,adiaforos
142,2,671,adiaforos
194,1,59,palia-eykairia
302,2,239,pistos
344,1,38,adiaforos
351,1,151,adiaforos
236,1,668,efkairia
159,2,240,adiaforos
251,1,122,adiaforos
305,1,98,adiaforos
158,1,134,efkairia
123,1,106,poly-kalos
341,2,471,adiaforos
204,1,57,adiaforos
319,2,204,adiaforos
319,1,83,adiaforos
302,1,84,adiaforos
173,1,147,adiaforos
145,2,0,adiaforos
316,2,244,palia-eykairia
157,1,287,efkairia
209,1,651,adiaforos
214,1,216,proin-kalos
320,1,769,avevaios
195,2,303,adiaforos
179,1,277,adiaforos
362,1,751,efkairia
224,1,206,palia-eykairia
118,1,43,adiaforos
189,1,84,proin-kalos
181,1,189,proin-kalos
131,1,247,adiaforos
162,1,139,adiaforos
328,1,319,adiaforos
221,1,101,adiaforos
203,1,115,adiaforos
118,1,105,adiaforos
134,1,676,poly-kalos
162,1,76,adiaforos
293,1,68,poly-kalos
176,1,63,adiaforos
362,1,118,adiaforos
127,1,61,adiaforos
354,1,300,adiaforos
350,1,182,adiaforos
326,1,166,adiaforos
354,1,555,efkairia
347,1,88,adiaforos
183,2,683,adiaforos
124,2,330,efkairia
260,1,534,poly-kalos
169,2,220,efkairia
253,1,601,adiaforos
162,1,262,adiaforos
209,2,618,adiaforos
167,1,36,adiaforos
300,1,8,avevaios
315,1,174,adiaforos
161,1,485,adiaforos
323,2,151,adiaforos
267,1,84,adiaforos
348,1,197,proin-kalos
355,1,336,adiaforos
162,1,53,adiaforos
163,1,83,adiaforos
347,1,149,avevaios
287,1,202,adiaforos
195,1,126,adiaforos
163,2,647,palia-eykairia
348,1,227,adiaforos
152,1,242,proin-kalos
263,1,235,adiaforos
228,1,71,adiaforos
179,1,96,palia-eykairia
165,2,435,adiaforos
141,1,133,adiaforos
348,1,147,adiaforos
215,1,55,adiaforos
260,1,109,adiaforos
128,1,166,proin-pistos
222,1,113,adiaforos
194,1,147,adiaforos
225,1,218,adiaforos
246,1,391,poly-kalos
216,1,492,adiaforos
148,1,557,adiaforos
292,1,147,efkairia
205,2,193,adiaforos
350,2,328,palia-eykairia
328,1,35,adiaforos
330,1,139,adiaforos
314,1,345,adiaforos
342,1,179,avevaios
155,1,32,adiaforos
126,1,90,adiaforos
120,1,256,poly-kalos
310,2,154,adiaforos
174,1,313,adiaforos
327,1,212,proin-pistos
329,2,298,adiaforos
362,1,0,adiaforos
151,2,159,adiaforos
233,2,185,adiaforos
357,2,630,adiaforos
242,1,109,avevaios
159,1,118,adiaforos
313,2,714,adiaforos
347,1,248,adiaforos
132,1,61,adiaforos
172,1,146,adiaforos
347,1,76,adiaforos
116,1,86,adiaforos
351,2,540,adiaforos
279,1,164,pistos
341,1,635,adiaforos
163,1,55,adiaforos
314,2,298,adiaforos
211,1,223,palia-eykairia
319,1,93,adiaforos
204,1,361,adiaforos
335,1,99,adiaforos
169,1,129,adiaforos
229,2,197,adiaforos
194,2,160,adiaforos
254,2,277,proin-pistos
194,1,177,poly-kalos
316,1,30,adiaforos
350,1,294,adiaforos
286,1,118,adiaforos
166,1,156,adiaforos
176,2,303,adiaforos
214,2,661,adiaforos
201,1,92,adiaforos
200,2,592,proin-pistos
152,1,204,adiaforos
231,1,227,adiaforos
188,1,59,avevaios
181,2,197,efkairia
252,1,126,proin-pistos
299,1,126,efkairia
142,1,151,proin-pistos
120,1,53,adiaforos
327,1,199,adiaforos
207,1,231,avevaios
169,2,398,adiaforos
146,1,31,adiaforos
180,1,388,proin-kalos
239,1,744,adiaforos
228,1,210,adiaforos
362,1,172,adiaforos
243,1,67,adiaforos
344,1,84,proin-kalos
347,1,348,adiaforos
169,1,96,adiaforos
158,1,82,adiaforos
330,1,106,adiaforos
300,1,161,proin-kalos
123,1,318,adiaforos
146,1,88,palia-eykairia
162,2,517,pistos
139,2,113,palia-eykairia
256,1,139,adiaforos
158,1,278,adiaforos
174,1,157,adiaforos
151,1,104,palia-eykairia
208,1,445,adiaforos
264,1,339,adiaforos
348,1,116,adiaforos
186,1,160,avevaios
148,1,189,adiaforos
252,1,214,proin-pistos
172,2,343,adiaforos
347,1,83,adiaforos
233,1,118,adiaforos
298,1,168,avevaios
116,1,206,adiaforos
260,1,231,adiaforos
195,2,382,adiaforos
152,1,111,poly-kalos
117,1,374,adiaforos
125,1,78,adiaforos
279,2,0,adiaforos
159,1,0,poly-kalos
125,1,103,proin-pistos
277,1,252,palia-eykairia
307,1,252,adiaforos
250,1,240,adiaforos
271,1,54,adiaforos
359,2,285,proin-pistos
348,1,161,adiaforos
362,1,106,adiaforos
226,1,34,adiaforos
326,1,113,adiaforos
333,1,231,adiaforos
249,1,584,adiaforos
182,2,166,pistos
116,1,92,proin-pistos
151,1,214,adiaforos
336,1,297,adiaforos
348,2,0,pistos
329,1,0,adiaforos
250,2,404,avevaios
260,1,134,adiaforos
140,1,686,proin-kalos
166,1,71,adiaforos
158,1,467,adiaforos
167,2,274,adiaforos
209,1,496,palia-eykairia
257,1,101,palia-eykairia
246,1,122,palia-eykairia
195,1,706,adiaforos
180,2,565,palia-eykairia
260,1,160,palia-eykairia
351,1,101,adiaforos
204,2,307,proin-kalos
362,1,479,adiaforos
187,1,49,adiaforos
123,1,136,proin-pistos
299,1,101,adiaforos
151,1,84,pistos
113,1,324,adiaforos
139,1,493,proin-kalos
263,2,550,adiaforos
166,1,644,adiaforos
197,2,681,adiaforos
251,1,137,adiaforos
155,1,105,adiaforos
156,2,466,adiaforos
179,1,50,proin-kalos
348,1,350,pistos
167,2,151,poly-kalos
189,2,0,adiaforos
148,1,80,proin-kalos
180,2,232,adiaforos
295,2,593,adiaforos
357,1,66,efkairia
224,1,118,adiaforos
312,1,290,adiaforos
116,1,113,palia-eykairia
162,1,144,adiaforos
233,1,340,avevaios
267,1,126,adiaforos
186,1,293,adiaforos
347,1,336,proin-kalos
172,2,76,adiaforos
173,1,3,adiaforos
161,1,55,adiaforos
153,1,734,poly-kalos
354,1,648,adiaforos
315,1,53,efkairia
361,1,509,adiaforos
347,1,227,adiaforos
151,2,452,palia-eykairia
326,2,129,adiaforos
254,1,95,adiaforos
176,1,193,pistos
349,1,55,adiaforos
357,1,521,adiaforos
358,1,275,adiaforos
172,2,198,avevaios
347,1,50,poly-kalos
330,1,328,adiaforos
158,1,134,avevaios
217,1,97,adiaforos
158,2,41,proin-kalos
320,1,663,adiaforos
293,1,126,adiaforos
312,1,327,palia-eykairia
141,2,639,adiaforos
125,1,269,adiaforos
321,1,686,adiaforos
306,2,659,adiaforos
249,1,106,pistos
232,2,277,adiaforos
187,2,588,adiaforos
277,1,160,adiaforos
317,1,83,adiaforos
347,1,90,adiaforos
116,2,471,adiaforos
162,1,10,adiaforos
224,1,311,adiaforos
350,2,113,adiaforos
316,1,126,adiaforos
187,2,248,adiaforos
320,1,307,poly-kalos
148,1,55,proin-kalos
124,2,308,adiaforos
159,1,116,adiaforos
171,1,135,adiaforos
151,1,499,adiaforos
340,1,118,adiaforos
144,1,158,adiaforos
123,1,69,adiaforos
274,1,210,avevaios
172,1,45,adiaforos
130,1,589,adiaforos
180,1,81,poly-kalos
230,1,105,adiaforos
116,1,109,adiaforos
349,1,214,avevaios
340,1,350,adiaforos
280,1,38,adiaforos
254,1,0,adiaforos
334,2,554,adiaforos
237,1,445,adiaforos
165,2,666,adiaforos
282,1,88,adiaforos
309,1,294,efkairia
124,1,187,adiaforos
223,1,303,pistos
162,1,101,poly-kalos
258,1,185,adiaforos
362,1,151,adiaforos
151,1,246,proin-pistos
335,1,134,adiaforos
330,1,73,adiaforos
267,2,47,proin-pistos
260,1,252,adiaforos
342,1,260,adiaforos
257,1,53,adiaforos
333,1,297,adiaforos
166,1,159,adiaforos
218,1,441,adiaforos
230,1,155,efkairia
193,1,202,adiaforos
264,1,605,adiaforos
312,1,547,avevaios
279,1,105,adiaforos
173,2,412,adiaforos
230,1,113,adiaforos
345,1,212,adiaforos
117,1,420,pistos
341,1,294,adiaforos
307,2,197,pistos
298,2,227,adiaforos
214,1,101,adiaforos
349,1,40,adiaforos
173,1,96,adiaforos
214,2,295,adiaforos
237,2,134,pistos
337,1,12,adiaforos
298,1,256,adiaforos
194,1,244,proin-kalos
153,1,175,adiaforos
362,1,388,avevaios
327,1,111,pistos
254,1,740,adiaforos
344,1,71,adiaforos
340,1,697,proin-kalos
224,1,517,adiaforos
165,1,86,adiaforos
174,1,271,adiaforos
333,1,45,adiaforos
237,1,282,adiaforos
162,1,55,efkairia
235,1,63,adiaforos
120,1,416,adiaforos
239,1,210,proin-pistos
348,1,50,adiaforos
141,1,40,palia-eykairia
225,1,349,proin-kalos
183,1,143,palia-eykairia
247,1,212,poly-kalos
129,1,611,adiaforos
333,1,378,adiaforos
165,1,219,adiaforos
125,1,50,avevaios
174,1,289,avevaios
113,2,611,adiaforos
130,1,191,adiaforos
202,1,269,adiaforos
212,2,166,poly-kalos
183,1,82,adiaforos
144,1,159,adiaforos
349,1,255,adiaforos
179,1,55,pistos
333,2,245,adiaforos
233,1,121,poly-kalos
351,1,718,poly-kalos
194,1,109,palia-eykairia
144,1,101,adiaforos
277,1,0,proin-kalos
160,1,53,proin-kalos
309,2,169,poly-kalos
324,1,161,adiaforos
361,1,189,palia-eykairia
317,1,58,palia-eykairia
351,2,169,adiaforos
334,1,31,adiaforos
250,1,368,adiaforos
211,1,28,palia-eykairia
173,2,210,adiaforos
148,1,76,adiaforos
323,1,292,adiaforos
319,1,171,adiaforos
345,1,30,avevaios
194,1,265,adiaforos
174,1,133,adiaforos
321,1,20,adiaforos
354,1,172,adiaforos
172,2,619,adiaforos
341,1,487,poly-kalos
351,1,105,poly-kalos
348,1,645,poly-kalos
363,1,277,pistos
337,1,231,adiaforos
194,1,84,adiaforos
328,2,397,pistos
363,1,718,adiaforos
284,1,416,adiaforos
168,1,131,adiaforos
202,2,521,efkairia
349,1,8,adiaforos
312,1,178,adiaforos
326,1,53,adiaforos
120,1,176,adiaforos
333,1,136,adiaforos
214,1,202,adiaforos
256,2,101,adiaforos
125,1,29,adiaforos
218,1,233,adiaforos
347,1,219,adiaforos
211,1,479,adiaforos
210,1,353,proin-pistos
124,1,232,adiaforos
148,1,52,adiaforos
142,1,267,adiaforos
246,1,81,adiaforos
166,1,96,adiaforos
130,1,38,adiaforos
334,1,42,adiaforos
186,1,563,adiaforos
180,1,98,avevaios
319,1,98,adiaforos
329,2,376,poly-kalos
354,1,634,adiaforos
125,1,600,adiaforos
125,1,120,adiaforos
348,1,38,adiaforos
181,2,532,pistos
363,1,42,adiaforos
239,1,130,adiaforos
132,1,81,adiaforos
162,1,121,palia-eykairia
120,1,126,palia-eykairia
265,1,146,adiaforos
222,1,71,adiaforos
221,2,340,adiaforos
159,1,590,avevaios
158,1,648,adiaforos
131,1,340,adiaforos
347,1,118,adiaforos
200,1,109,adiaforos
211,1,0,adiaforos
337,2,273,adiaforos
305,1,122,efkairia
169,1,13,adiaforos
155,1,265,adiaforos
347,1,378,adiaforos
330,1,113,adiaforos
230,1,299,adiaforos
249,1,59,adiaforos
247,1,133,adiaforos
223,1,139,adiaforos
159,1,408,adiaforos
119,1,32,avevaios
144,2,290,avevaios
182,1,403,adiaforos
355,1,439,adiaforos
363,1,0,adiaforos
224,1,50,adiaforos
344,1,55,adiaforos
210,1,210,adiaforos
327,1,143,adiaforos
188,1,126,palia-eykairia
230,1,202,adiaforos
186,1,327,adiaforos
355,1,118,adiaforos
137,1,277,proin-kalos
285,1,44,adiaforos
343,1,580,adiaforos
215,1,88,adiaforos
208,1,21,pistos
214,1,134,adiaforos
221,1,214,adiaforos
258,1,231,adiaforos
254,1,294,proin-kalos
139,1,63,adiaforos
355,1,222,proin-kalos
225,1,710,adiaforos
169,1,255,avevaios
257,1,0,pistos
240,1,133,adiaforos
252,1,122,poly-kalos
224,1,218,poly-kalos
169,1,130,adiaforos
193,2,245,adiaforos
260,2,672,adiaforos
147,1,320,poly-kalos
180,1,147,efkairia
125,1,38,palia-eykairia
201,1,76,avevaios
230,2,76,adiaforos
186,1,298,adiaforos
363,1,401,adiaforos
189,1,29,adiaforos
230,1,634,adiaforos
321,2,130,adiaforos
329,1,591,efkairia
222,1,97,adiaforos
284,2,563,adiaforos
159,2,608,adiaforos
357,1,210,poly-kalos
190,1,349,adiaforos
237,1,483,adiaforos
256,1,634,pistos
258,1,126,adiaforos
349,1,393,adiaforos
162,1,81,adiaforos
236,1,143,adiaforos
168,2,299,adiaforos
270,1,559,adiaforos
190,1,176,adiaforos
180,1,100,efkairia
135,1,633,adiaforos
155,2,290,pistos
222,1,269,adiaforos
337,2,406,adiaforos
245,2,41,adiaforos
243,2,416,adiaforos
113,2,743,adiaforos
359,1,218,adiaforos
161,1,0,adiaforos
199,1,44,adiaforos
222,1,134,adiaforos
343,1,103,adiaforos
176,1,50,proin-pistos
159,1,98,adiaforos
355,1,17,adiaforos
156,1,519,adiaforos
159,1,127,adiaforos
256,1,25,adiaforos
351,2,703,proin-pistos
312,1,0,adiaforos
126,2,122,adiaforos
204,1,160,adiaforos
303,1,126,proin-kalos
172,2,228,adiaforos
250,1,63,adiaforos
301,1,378,adiaforos
162,1,111,efkairia
158,1,221,adiaforos
361,1,613,adiaforos
169,1,250,efkairia
274,2,76,adiaforos
286,1,244,adiaforos
243,1,109,adiaforos
201,1,193,adiaforos
208,1,109,adiaforos
236,2,227,adiaforos
274,1,185,adiaforos
347,1,634,adiaforos
351,1,666,poly-kalos
163,1,63,adiaforos
358,1,403,proin-pistos
259,1,92,adiaforos
284,2,192,adiaforos
123,1,50,proin-pistos
211,1,59,adiaforos
312,1,748,adiaforos
299,1,0,adiaforos
351,1,325,proin-kalos
250,1,727,adiaforos
135,2,134,adiaforos
181,1,676,pistos
356,1,4,adiaforos
153,1,27,adiaforos
317,1,176,adiaforos
146,1,55,adiaforos
293,1,179,palia-eykairia
323,1,348,adiaforos
208,1,252,adiaforos
274,2,101,adiaforos
347,1,87,adiaforos
191,1,147,adiaforos
257,1,336,adiaforos
256,1,702,adiaforos
232,1,374,poly-kalos
199,1,89,pistos
148,1,338,adiaforos
256,1,42,adiaforos
135,1,61,adiaforos
200,1,307,adiaforos
165,1,600,adiaforos
176,2,44,adiaforos
202,1,77,adiaforos
190,1,269,adiaforos
272,1,80,pistos
345,1,95,efkairia
307,2,67,palia-eykairia
280,1,269,avevaios
216,1,290,adiaforos
307,1,349,adiaforos
315,1,262,adiaforos
169,2,397,adiaforos
142,1,193,adiaforos
182,1,88,adiaforos
327,1,206,adiaforos
187,1,101,adiaforos
228,2,386,adiaforos
153,2,193,poly-kalos
334,1,192,proin-pistos
169,1,141,adiaforos
250,1,96,poly-kalos
342,1,231,adiaforos
289,1,261,adiaforos
319,2,120,avevaios
183,1,172,adiaforos
344,1,134,adiaforos
224,1,92,adiaforos
176,1,456,adiaforos
139,1,83,efkairia
168,2,474,adiaforos
113,1,0,adiaforos
251,1,130,adiaforos
162,1,187,adiaforos
158,1,50,adiaforos
228,2,496,adiaforos
128,1,92,adiaforos
249,1,42,adiaforos
284,2,334,proin-pistos
329,1,108,poly-kalos
161,2,108,adiaforos
354,1,147,adiaforos
162,1,97,efkairia
298,1,248,adiaforos
214,1,151,efkairia
309,1,8,adiaforos
224,1,286,proin-kalos
166,1,258,proin-pistos
329,2,8,proin-kalos
326,1,124,palia-eykairia
356,2,277,adiaforos
322,1,124,adiaforos
312,1,76,adiaforos
316,1,0,adiaforos
287,1,0,adiaforos
155,1,93,palia-eykairia
239,1,718,pistos
151,2,76,adiaforos
284,1,0,adiaforos
321,1,231,adiaforos
225,1,139,adiaforos
299,1,580,adiaforos
166,1,43,adiaforos
229,1,433,adiaforos
328,1,113,adiaforos
263,1,202,adiaforos
354,1,273,adiaforos
197,2,583,adiaforos
350,1,83,proin-pistos
292,1,256,adiaforos
160,2,270,palia-eykairia
161,2,9,adiaforos
252,1,133,avevaios
309,1,8,adiaforos
263,1,25,pistos
333,1,182,adiaforos
155,1,155,adiaforos
160,1,412,adiaforos
165,1,33,adiaforos
338,1,38,pistos
249,1,186,adiaforos
236,1,292,adiaforos
186,2,202,adiaforos
227,1,0,adiaforos
206,1,133,avevaios
205,1,40,adiaforos
205,1,106,poly-kalos
204,1,257,adiaforos
204,1,376,adiaforos
202,1,230,adiaforos
200,1,155,adiaforos
196,1,350,adiaforos
192,1,115,efkairia
191,1,89,adiaforos
180,2,599,avevaios
187,1,133,adiaforos
181,1,93,avevaios
181,1,44,adiaforos
178,1,183,adiaforos
174,1,195,adiaforos
167,1,186,adiaforos
166,1,350,poly-kalos
165,1,305,adiaforos
164,1,239,adiaforos
162,1,496,adiaforos
162,1,69,adiaforos
159,1,401,adiaforos
127,2,256,efkairia
153,1,361,adiaforos
148,1,93,avevaios
146,1,170,efkairia
141,2,155,adiaforos
143,1,122,adiaforos
143,1,173,adiaforos
142,1,151,poly-kalos
138,2,508,efkairia
130,2,89,adiaforos
139,1,230,avevaios
137,1,106,poly-kalos
134,1,168,proin-kalos
132,1,66,poly-kalos
131,1,80,adiaforos
130,2,635,proin-kalos
127,1,44,adiaforos
126,1,44,efkairia
122,1,44,poly-kalos
121,1,164,poly-kalos
118,1,208,adiaforos
115,1,478,adiaforos
160,1,0,adiaforos
169,2,522,adiaforos
186,1,122,adiaforos
169,1,348,adiaforos
331,2,43,adiaforos
305,1,332,adiaforos
358,1,171,adiaforos
362,1,88,efkairia
358,1,0,proin-kalos
216,2,317,adiaforos
355,1,13,adiaforos
354,1,139,efkairia
350,1,48,pistos
349,1,0,proin-kalos
349,1,136,poly-kalos
347,1,628,avevaios
344,1,0,adiaforos
343,1,30,adiaforos
338,1,202,adiaforos
337,1,45,adiaforos
320,1,229,avevaios
313,1,655,adiaforos
305,1,392,efkairia
251,2,4,poly-kalos
232,1,139,adiaforos
224,1,139,adiaforos
113,2,487,adiaforos
215,1,210,proin-pistos
209,1,139,adiaforos
208,1,155,adiaforos
200,1,336,adiaforos
169,1,98,poly-kalos
159,2,197,palia-eykairia
153,1,96,adiaforos
140,1,231,adiaforos
134,1,240,adiaforos
130,1,33,adiaforos
125,1,0,adiaforos
236,1,529,adiaforos
167,1,134,proin-kalos
363,1,105,adiaforos
307,1,0,avevaios
312,1,179,adiaforos
189,1,303,palia-eykairia
116,1,244,adiaforos
312,1,130,adiaforos
308,1,618,adiaforos
343,1,53,adiaforos
167,1,58,proin-pistos
340,1,580,adiaforos
243,2,248,avevaios
363,1,38,proin-kalos
308,2,8,proin-pistos
354,1,46,poly-kalos
347,1,156,proin-pistos
347,1,350,adiaforos
344,1,63,efkairia
334,1,277,adiaforos
333,1,250,adiaforos
331,1,43,adiaforos
330,1,320,adiaforos
327,1,108,adiaforos
326,1,116,adiaforos
202,2,494,adiaforos
316,1,231,adiaforos
163,2,282,proin-pistos
309,1,655,adiaforos
308,1,252,adiaforos
300,1,212,adiaforos
285,1,92,adiaforos
277,1,80,adiaforos
259,1,525,adiaforos
243,1,197,adiaforos
235,1,197,adiaforos
232,1,227,pistos
230,1,185,proin-pistos
229,1,227,adiaforos
224,1,315,adiaforos
218,1,109,adiaforos
204,1,231,proin-kalos
198,1,126,adiaforos
193,1,185,pistos
190,1,92,adiaforos
190,1,122,adiaforos
181,1,202,efkairia
174,1,143,adiaforos
172,1,155,adiaforos
169,1,126,adiaforos
160,1,209,adiaforos
156,2,128,adiaforos
149,1,23,adiaforos
148,1,242,adiaforos
147,1,61,adiaforos
144,1,262,adiaforos
132,1,50,adiaforos
125,2,285,adiaforos
125,1,88,poly-kalos
118,1,181,adiaforos
240,1,126,pistos
362,1,391,adiaforos
263,1,193,adiaforos
230,1,405,adiaforos
238,1,265,adiaforos
352,1,55,adiaforos
134,1,175,adiaforos
131,1,368,adiaforos
358,1,285,adiaforos
293,1,38,adiaforos
235,1,46,avevaios
347,1,147,adiaforos
117,1,544,adiaforos
169,1,30,adiaforos
167,1,702,adiaforos
246,1,294,adiaforos
328,1,295,adiaforos
344,1,335,adiaforos
217,2,181,adiaforos
176,1,174,adiaforos
181,1,106,adiaforos
172,2,666,adiaforos
334,1,318,adiaforos
207,1,76,proin-kalos
323,1,193,adiaforos
246,1,63,adiaforos
162,2,245,adiaforos
252,1,105,adiaforos
295,1,105,adiaforos
141,2,600,adiaforos
179,1,217,adiaforos
201,1,34,adiaforos
267,1,34,adiaforos
156,1,129,adiaforos
162,2,181,adiaforos
208,1,214,adiaforos
162,1,294,adiaforos
277,1,256,adiaforos
333,1,83,proin-pistos
172,1,232,pistos
202,2,332,pistos
190,2,244,palia-eykairia
362,1,483,avevaios
361,1,504,adiaforos
358,1,134,efkairia
347,2,61,adiaforos
316,1,633,adiaforos
349,1,61,adiaforos
142,2,380,adiaforos
348,1,81,adiaforos
348,1,769,adiaforos
348,1,146,poly-kalos
347,1,81,adiaforos
341,1,655,adiaforos
341,1,136,adiaforos
338,1,237,adiaforos
338,1,0,proin-kalos
334,1,156,proin-kalos
333,1,479,adiaforos
328,1,418,adiaforos
328,1,333,adiaforos
328,1,108,adiaforos
327,1,88,poly-kalos
327,1,139,adiaforos
324,1,13,adiaforos
323,1,136,adiaforos
321,1,227,adiaforos
320,1,595,adiaforos
320,1,212,adiaforos
320,1,199,adiaforos
319,1,231,adiaforos
308,1,265,adiaforos
307,1,105,adiaforos
306,1,272,adiaforos
305,1,109,adiaforos
302,1,52,poly-kalos
279,2,538,proin-kalos
284,2,361,proin-kalos
278,2,416,proin-pistos
280,1,231,adiaforos
278,1,139,adiaforos
266,1,97,adiaforos
265,1,534,adiaforos
252,1,101,adiaforos
251,1,25,adiaforos
250,1,231,avevaios
240,1,76,adiaforos
236,1,130,adiaforos
235,1,130,adiaforos
235,1,693,adiaforos
211,2,117,adiaforos
226,1,151,adiaforos
218,1,8,proin-kalos
218,1,315,efkairia
