1,2,3
216.81,13788,1.5784e+005
429.04,4260.6,3.1234e+005
136.24,3343.5,99181
142.45,2819.5,1.037e+005
156.82,3003.2,1.1416e+005
119.26,2276.6,86822
117.78,2136.6,85746
125.21,2293,91155
105.52,2201.2,76821
105.07,1281.6,76494
114.8,2836.1,83572
132.22,1578,96256
147.62,2325.6,1.0747e+005
168.08,3925.4,1.2236e+005
136.01,5610.2,99014
197.59,5713.1,1.4385e+005
225.72,2043.2,1.6432e+005
191.42,3509.7,1.3935e+005
138.08,3587,1.0052e+005
209.16,2427.6,1.5227e+005
322.5,3775.7,2.3478e+005
175.18,2594.7,1.2753e+005
237.78,3891.9,1.731e+005
179.22,2370.8,1.3047e+005
186.2,2410,1.3555e+005
228.71,3455.2,1.665e+005
177.31,2236,1.2908e+005
361.22,3942.9,2.6297e+005
207.12,1652.4,1.5078e+005
286.88,2471.3,2.0885e+005
247.12,1387.9,1.799e+005
309.77,2521.8,2.2551e+005
229.72,1593.2,1.6724e+005
418.37,2087.9,3.0457e+005
444.31,3543.6,3.2346e+005
436.28,2464.8,3.1761e+005
