1,2,3
13.878,247.2,5551.1
58.394,2002,23358
156.34,4060.5,62535
100.83,2432.6,40333
140.55,2331.3,56218
141.18,2133.6,56472
109.75,2860.6,43900
176.67,2227.9,70668
171.25,2112.4,68499
138.06,2921.3,55223
204.39,2441.7,81756
262.12,1800.3,1.0485e+005
180.23,2391.5,72090
185.12,2367.8,74048
185.95,2532.7,74379
272.76,2603.4,1.0911e+005
219.7,2114.3,87879
255.63,2567.7,1.0225e+005
284.93,3658.9,1.1397e+005
188.4,1792.2,75360
287.91,2455.2,1.1516e+005
343.11,2569.9,1.3724e+005
267.37,2699.2,1.0695e+005
320.51,2587.6,1.282e+005
225.73,1967.3,90293
194.65,2147.2,77862
185.62,1572.1,74246
228,2287.6,91200
213.52,1896.6,85406
322.67,2668.7,1.2907e+005
354.32,3120.6,1.4173e+005
