1,2,3
13.144,233.8,9569.1
247.32,2249.7,1.8005e+005
132.59,2606.9,96526
163.89,3416.5,1.1931e+005
186.39,2157.4,1.3569e+005
235.24,5882.1,1.7126e+005
197.22,2657.7,1.4357e+005
130.56,3583.4,95047
166.3,4747.5,1.2107e+005
126.62,2941.4,92180
148.05,2890.2,1.0778e+005
145.87,2659,1.0619e+005
241.11,4131.9,1.7553e+005
192.04,3969.5,1.3981e+005
307.64,3871,2.2396e+005
284.64,2620.3,2.0722e+005
249.49,1937.1,1.8163e+005
239.98,2483.2,1.7471e+005
151.77,3580.3,1.1049e+005
297.09,3627.7,2.1628e+005
296.06,3889,2.1553e+005
203.81,5026.4,1.4837e+005
307.87,2745.8,2.2413e+005
225.36,2051.3,1.6406e+005
215.24,4287.3,1.5669e+005
391.69,4095.4,2.8515e+005
167.55,1977.7,1.2197e+005
390.63,3536.5,2.8438e+005
220.28,1987.5,1.6037e+005
406.13,4373.9,2.9567e+005
281.98,1698.6,2.0528e+005
406.47,3638.4,2.9591e+005
210.82,1498.1,1.5348e+005
430.74,2050.7,3.1358e+005
492.25,2435.1,3.5836e+005
486.19,4689.3,3.5394e+005
