1,2,3
106.91,3820.5,42762
231.76,3881.2,92704
151.43,2473.5,60572
239.5,2642.8,95800
251.74,4531.2,1.007e+005
126.01,2922.3,50406
368.98,2882.2,1.4759e+005
216.09,3400.9,86436
239.95,2516.4,95978
289.15,2248.1,1.1566e+005
393.52,2378.1,1.5741e+005
270.26,3518.3,1.0811e+005
295.44,3985,1.1818e+005
219.47,2763.2,87788
388.49,2557.3,1.5539e+005
362.23,3591.4,1.4489e+005
375.39,2719.8,1.5016e+005
377.8,4247.5,1.5112e+005
250.6,2392.9,1.0024e+005
384.87,3925.3,1.5395e+005
402.24,2604.9,1.609e+005
344.63,4039.7,1.3785e+005
446.28,3193.7,1.7851e+005
336.39,2707,1.3456e+005
207.52,1107,83010
190.88,1476.4,76352
267.25,2159.7,1.069e+005
210.48,1021.9,84193
488.41,3776.8,1.9536e+005
407.54,2593.1,1.6302e+005
