UserID,R,F,M
2594,1,1,115.97
2597,14,28,13369.281
2598,29,3,226.89
2605,356,1,0
2616,14,5,3831.08
2625,179,2,721.01
2626,1,11,2558.3801
2632,54,1,50.42
2633,246,2,185.72
2637,7,19,7315.9907
2645,120,4,1738.6699
2651,2,9,1325.2101
2658,9,15,6781.47
2671,207,1,159.66
2681,62,4,1022.27997
2698,350,1,380.67
2714,144,2,1416.81
2717,43,1,252.1
2726,222,1,67.23
2727,141,2,588.67
2735,85,2,0
2744,260,2,410.93002
2747,162,2,118.49
2752,354,2,443.69998
2753,15,5,2139.52
2762,160,1,827.73
2770,354,1,728.57
2798,321,1,73.11
2825,177,4,2156.3
2849,271,1,96.64
2850,159,2,510.08002
2864,202,5,1624.3801
2866,110,4,61.35003
2882,118,2,65.13
2892,46,4,815.97003
2909,15,27,5935.26
2927,259,2,2561.34
2948,10,11,4299.14
2968,168,3,4474.81
2978,327,1,392.86
2990,209,1,1042.02
2993,257,1,907.57
3008,341,2,347.06
3024,25,19,5917.22
3026,1,8,12906.291
3038,105,1,63.87
3039,166,10,4062.9998
3050,341,1,45.379997
3058,9,24,33099.184
3072,8,17,8105.02
3073,10,24,5047.8804
3078,13,44,32463.527
3089,32,3,536.97
3095,340,1,-15.130005
3121,20,8,2863.45
3175,190,3,1260.5099
3177,341,1,181.51
3180,256,3,1206.72
3183,334,1,314.28
3192,180,4,131.09999
3200,10,1,46.22
3225,337,1,1113.4401
3231,19,1,79.41
3250,291,1,134.45
3275,216,4,595.79
3285,47,1,210.08
3299,341,2,197.48
3302,324,1,312.6
3335,12,5,1030.26
3347,310,1,584.87
3357,180,2,536.14
3360,351,1,786.55
3385,242,1,63.03
3391,222,1,207.98
3394,322,1,50.42
3398,142,2,670.86
3402,254,3,375.63
3415,158,2,2570.16
3418,1,6,588.24
3420,194,1,58.82
3424,1,1,48.739998
3426,103,2,528.58997
3470,22,26,27526.885
3477,151,3,97.48
3480,302,2,238.66
3484,344,1,37.82
3488,246,4,698.32996
3489,351,1,151.26001
3503,4,2,1134.4601
3504,236,1,668.06
3519,159,2,239.5
3524,176,2,1048.74
3528,77,4,924.46
3531,251,1,121.85
3534,305,1,98.32
3563,12,1,291.18
3564,130,4,3929.83
3599,2,24,10421.439
3604,158,1,134.46
3607,123,1,105.88
3635,34,19,6784.4805
3643,55,4,612.60004
3650,165,5,874.79004
3653,341,2,471.44
3663,204,1,56.72
3670,135,6,94.95
3676,8,51,22317.719
3682,319,2,204.2
3694,319,1,83.19
3711,9,3,1564.29
3712,302,1,84.04
3722,173,1,-147.06
3726,4,2,434.45
3758,95,1,1.52588E-05
3759,2,3,1493.2799
3773,8,6,1908.8301
3789,145,2,0
3792,316,2,243.7
3823,157,1,287.39
3826,209,1,651.26
3832,56,2,915.95996
3840,214,1,215.95999
3846,21,12,17182.36
3852,0,5,526.47
3859,1,11,4577.73
3862,151,2,785.72
3870,162,3,123.100006
3874,75,1,268.49
3879,9,4,12652.941
3889,109,1,327.73
3894,320,1,768.9101
3896,8,9,5499.98
3915,167,3,751.26
3922,357,1,2176.47
3928,3,2,2005.0399
3940,41,3,302.71997
3941,132,1,1491.6
3947,15,15,1995.4001
3956,14,3,2249.58
3970,7,2,565.13
3976,169,7,2662.16
3990,195,2,302.94003
3994,179,1,277.31
4003,362,1,751.26
4008,224,1,205.88
4010,118,1,-42.86
4030,265,1,1021.01
4038,18,12,4371.1597
4048,176,5,4420.1597
4054,53,1,63.03
4061,119,3,119.75
4113,189,1,84.03
4141,181,1,189.08
4148,0,8,1374.4001
4150,131,1,247.06
4151,162,1,138.65
4161,153,1,1558.83
4170,224,3,553.79
4174,328,1,319.31998
4190,221,1,100.84
4191,111,1,331.93
4194,26,1,56.3
4201,203,1,114.7
4226,125,4,890.23004
4229,118,1,105.04
4244,78,5,1603.3701
4260,134,1,675.63
4267,162,1,75.63
4282,293,1,68.07
4289,58,1,528.99
4295,95,4,2304.2
4307,28,24,18124.312
4309,40,2,644.54004
4327,176,1,63.03
4334,188,1,1352.9501
4360,11,1,102.94
4361,362,1,118.49
4382,91,2,422.28
4396,9,1,19.329987
4400,15,3,1083.61
4412,10,5,2103.4502
4415,127,1,60.5
4418,354,1,300
4436,71,2,45.379997
4437,350,1,181.51
4438,79,1,1117.65
4447,161,3,442.02002
4455,1,12,5491.39
4462,85,3,113.45
4464,326,1,165.97
4475,354,1,554.63
4480,347,1,88.24
4500,216,1,1222.69
4506,91,2,400.85
4509,183,2,683.19
4514,2,6,996.64
4517,111,3,680.68
4527,145,4,303.78998
4534,124,2,330.26
4535,1,3,1244.53
4547,26,1,67.23
4553,8,3,741.17004
4576,260,1,533.61
4589,126,2,1172.27
4590,169,2,220.17001
4593,252,1,831.93
4601,253,1,600.83997
4606,61,11,2857.1099
4618,121,3,1050.85
4629,326,2,1742.87
4632,7,5,5270.17
4638,57,1,63.03
4641,2,1,220.59
4651,15,9,2964.0698
4655,162,1,262.18
4659,209,2,618.48
4669,167,1,35.71
4681,300,1,7.5599976
4684,348,1,905.04
4688,160,3,1067.23
4689,57,2,836.14
4694,315,1,173.95
4697,72,1,336.13
4715,158,2,6826.4595
4733,88,3,2331.51
4739,165,1,930.26
4749,161,1,484.96002
4755,323,2,151.26
4770,160,1,1966.3901
4771,267,1,84.03
4781,7,12,6463.6704
4790,109,3,461.94
4799,232,3,1316.81
4801,14,1,194.11
4813,348,1,196.64
4814,131,9,11157.141
4824,7,23,20875.217
4835,340,1,2087.3901
4837,355,1,336.13
4865,0,1,386.55
4884,95,4,2088.6501
4909,162,1,52.94
4911,16,4,914.28
4918,39,3,431.09998
4936,27,3,302.52002
4950,2,14,8234.5205
4953,163,1,83.19
4966,133,3,335.01004
4968,88,4,377.31
4979,15,1,138.66
4990,2,1,566.81
4991,15,15,13024.739
4994,18,2,306.72
4999,27,10,5143.0493
5006,0,4,2130.3398
5012,347,1,148.74
5022,287,1,201.68
5028,85,4,3316.81
5065,2,4,5760.51
5079,8,3,280.66998
5098,175,2,1115.13
5115,312,4,1850.6201
5117,7,3,399.15997
5128,195,1,126.05
5135,1,24,5781.119
5142,85,1,584.03
5148,163,2,647.06
5149,195,3,486.55005
5165,195,3,-154.62
5168,348,1,226.89
5169,2,1,100.84
5193,152,1,242.02
5196,29,18,5634.8
5209,263,1,235.29
5217,1,3,408.41
5230,22,8,1168.5
5238,228,1,71.43
5242,111,2,1582.14
5252,179,1,95.8
5253,165,2,434.88
5255,131,6,2745.26
5269,197,5,1509.25
5274,15,10,4778.7896
5276,183,3,1411.7699
5281,282,3,1147.0599
5296,141,1,132.74
5299,23,2,402.52002
5304,58,2,953.77997
5308,46,8,6015.13
5324,348,1,147.06
5352,60,1,75.63
5371,215,1,54.62
5382,188,4,818.49
5392,260,1,109.24
5398,11,13,13580.2705
5399,10,31,9384.48
5405,99,1,168.07
5410,152,3,905.04004
5412,128,1,165.93001
5413,34,2,534.04004
5415,7,18,13877.318
5435,15,4,399.16
5445,222,1,113.45
5450,121,4,5584.0405
5464,91,11,5770.57
5475,194,1,147.06
5478,10,4,2464.7002
5483,7,1,270.59
5485,83,7,2572.0398
5486,25,4,5694.96
5492,120,5,2763.0298
5503,85,4,9165.959
5507,225,1,218.49
5531,110,10,4211.75
5535,2,2,553.78
5536,10,17,10189.11
5540,246,1,390.76
5546,10,2,253.78
5554,216,1,491.59
5584,133,3,577.32
5611,148,1,557.14
5618,158,1,838.23
5622,349,1,864.71
5650,133,2,2236.1301
5657,15,3,757.99
5660,292,1,147.06
5666,205,2,193.28
5675,2,3,2052.11
5693,7,2,1255.47
5698,350,2,327.72998
5724,328,1,35.29
5730,2,16,3660.9094
5737,1,21,8351.489
5741,4,1,126.05
5779,263,1,1151.26
5794,7,8,1048.74
5795,330,1,138.66
5800,99,2,336.27997
5812,95,1,592.44
5817,57,4,474.77997
5818,314,1,344.54
5833,19,1,70.59
5840,74,1,105.04
5843,342,1,178.99
5844,2,1,179.41
5862,284,4,1184.03
5879,126,3,1857.98
5882,47,1,4.209999
5889,1,1,85.28998
5892,155,1,31.51
5897,126,1,90.27
5909,340,3,257.99
5915,1,4,1262.61
5916,120,1,256.30002
5917,310,2,153.78
5961,260,1,2631.93
5968,4,3,1454.63
5969,0,7,1587.3799
5978,7,7,1334.88
5980,174,1,313.02
5991,327,1,212.18
5994,329,2,298.32
5995,137,4,606.73
6030,76,7,2310.08
6045,362,1,0
6053,139,3,887.4
6054,151,2,158.82
6066,0,4,661.76
6070,20,1,159.66
6075,67,1,385.71
6084,53,2,298.32
6097,233,2,184.87
6114,82,1,84.04
6136,91,4,1673.9402
6152,96,1,273.95
6192,116,2,835.50995
6193,357,2,630.25006
6197,15,6,2479.82
6228,30,20,2871.44
6232,242,1,109.24
6238,11,15,5741.59
6248,19,5,363.87003
6250,159,1,118.49
6251,313,2,714.28
6253,8,17,13558.849
6258,165,1,2184.8801
6270,176,1,1204.21
6273,18,13,25592.121
6279,11,4,2749.99
6284,347,1,247.9
6286,10,9,1478.1501
6290,132,1,60.5
6314,0,14,28470.602
6327,284,2,1614.7
6343,12,1,92.44
6371,215,2,1070.59
6377,225,1,1082.35
6385,172,1,146.22
6387,347,1,75.63
6406,106,1,697.47
6422,124,5,4723.5303
6436,1,2,2085.71
6437,116,1,86.28
6462,351,2,540.33
6463,212,2,849.58
6466,279,1,163.87
6467,341,1,635.29
6479,163,1,55.46
6480,1,6,1878.58
6503,16,6,3210.52
6505,4,4,577.73004
6510,11,8,33885.715
6516,314,2,298.31
6520,47,1,247.9
6522,102,1,33.61
6534,92,2,855.43
6541,23,2,140.75
6548,26,2,497.05
6562,1,1,-73.53
6596,211,1,222.69
6617,319,1,93.28
6641,267,1,1000
6643,11,1,117.65
6654,42,6,857.15
6666,7,1,84.87
6675,23,32,6086.139
6677,204,1,361.35
6702,340,3,1273.1201
6742,335,1,99.16
6764,89,1,705.88
6790,169,1,128.57
6795,37,5,2413.4497
6833,15,5,1257.9901
6838,131,3,651.26
